Clase de población;Comunidades y Ciudades Autónomas;Ventajas/desventajas;Total
Personas que han teletrabajado;Total nacional;Total;3.282.973
Personas que han teletrabajado;Total nacional;Ventajas: Gestión propia del tiempo de trabajo;87,3
Personas que han teletrabajado;Total nacional;Ventajas: Aprovechamiento/ahorro de tiempo;86,6
Personas que han teletrabajado;Total nacional;Ventajas: Conciliación con vida familiar/personal;87,2
Personas que han teletrabajado;Total nacional;Ventajas: Ahorro de dinero;68,7
Personas que han teletrabajado;Total nacional;Ventajas: Evitar desplazamientos;95,4
Personas que han teletrabajado;Total nacional;Ventajas: Comodidad de trabajar en el hogar;77,7
Personas que han teletrabajado;Total nacional;Desventajas: Peor organización y coordinación del teletrabajo;29,5
Personas que han teletrabajado;Total nacional;Desventajas: Sobrecarga laboral;47
Personas que han teletrabajado;Total nacional;Desventajas: No desconexión laboral;60,8
Personas que han teletrabajado;Total nacional;Desventajas: Falta de contacto social con compa±eros;82,2
Personas que han teletrabajado;Total nacional;Desventajas: Falta de recursos técnicos;28,8
Personas que han teletrabajado;Total nacional;Desventajas: Incomodidad de trabajar desde el hogar;24
Personas que han teletrabajado;Andalucía;Total;397.228
Personas que han teletrabajado;Andalucía;Ventajas: Gestión propia del tiempo de trabajo;88
Personas que han teletrabajado;Andalucía;Ventajas: Aprovechamiento/ahorro de tiempo;89,7
Personas que han teletrabajado;Andalucía;Ventajas: Conciliación con vida familiar/personal;87
Personas que han teletrabajado;Andalucía;Ventajas: Ahorro de dinero;65,6
Personas que han teletrabajado;Andalucía;Ventajas: Evitar desplazamientos;95,4
Personas que han teletrabajado;Andalucía;Ventajas: Comodidad de trabajar en el hogar;81,2
Personas que han teletrabajado;Andalucía;Desventajas: Peor organización y coordinación del teletrabajo;22,8
Personas que han teletrabajado;Andalucía;Desventajas: Sobrecarga laboral;42,5
Personas que han teletrabajado;Andalucía;Desventajas: No desconexión laboral;57,7
Personas que han teletrabajado;Andalucía;Desventajas: Falta de contacto social con compa±eros;77,2
Personas que han teletrabajado;Andalucía;Desventajas: Falta de recursos técnicos;22
Personas que han teletrabajado;Andalucía;Desventajas: Incomodidad de trabajar desde el hogar;26,8
Personas que han teletrabajado;Aragón;Total;70.223
Personas que han teletrabajado;Aragón;Ventajas: Gestión propia del tiempo de trabajo;86,2
Personas que han teletrabajado;Aragón;Ventajas: Aprovechamiento/ahorro de tiempo;82,4
Personas que han teletrabajado;Aragón;Ventajas: Conciliación con vida familiar/personal;83,8
Personas que han teletrabajado;Aragón;Ventajas: Ahorro de dinero;54,2
Personas que han teletrabajado;Aragón;Ventajas: Evitar desplazamientos;88,8
Personas que han teletrabajado;Aragón;Ventajas: Comodidad de trabajar en el hogar;72,8
Personas que han teletrabajado;Aragón;Desventajas: Peor organización y coordinación del teletrabajo;27,2
Personas que han teletrabajado;Aragón;Desventajas: Sobrecarga laboral;39,7
Personas que han teletrabajado;Aragón;Desventajas: No desconexión laboral;63,7
Personas que han teletrabajado;Aragón;Desventajas: Falta de contacto social con compa±eros;78,5
Personas que han teletrabajado;Aragón;Desventajas: Falta de recursos técnicos;31,4
Personas que han teletrabajado;Aragón;Desventajas: Incomodidad de trabajar desde el hogar;20,6
