Clase de población;Características demográficas teletrabajo;Disponibilidad teletrabajo;Total
Personas ocupadas;Total Personas;Total;18.703.329
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;35
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,6
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;17,4
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,7
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;12,2
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,4
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar parcialmente;17,3
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,3
Personas ocupadas;Total Personas;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;12
Personas ocupadas;Total Personas;Personas que su trabajo principal no le permite teletrabajar;65
Personas ocupadas;Sexo: Hombre;Total;10.158.819
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;32,4
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,1
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;15,3
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar totalmente;15,6
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;11,2
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4,4
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar parcialmente;16,8
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,9
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;10,9
Personas ocupadas;Sexo: Hombre;Personas que su trabajo principal no le permite teletrabajar;67,6
Personas ocupadas;Sexo: Mujer;Total;8.544.509
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;38
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;18,1
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;20
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar totalmente;20,1
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13,4
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;6,7
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar parcialmente;17,9
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,6
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;13,3
Personas ocupadas;Sexo: Mujer;Personas que su trabajo principal no le permite teletrabajar;62
Personas ocupadas;Edad: De 16 a 24 años;Total;1.018.853
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;22,2
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;9,4
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;12,8
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;12
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;8
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;10,2
