Comunidades y ciudades autónomas;Principales variables;Agrupación de actividad;Total
Total nacional;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;87,43
Total nacional;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;87,74
Total nacional;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;85,8
Total nacional;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;87,75
Total nacional;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;77,02
Total nacional;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;75,15
Total nacional;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;73,85
Total nacional;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;78,74
Total nacional;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;69,14
Total nacional;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;68,47
Total nacional;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;58,22
Total nacional;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;72,47
Total nacional;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;58,85
Total nacional;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;59,31
Total nacional;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;42,64
Total nacional;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;63,15
Total nacional;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;37,45
Total nacional;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;31,91
Total nacional;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;26,02
Total nacional;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;43,09
Total nacional;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;19,82
Total nacional;D.13 % de empleados que teletrabajan regularmente(3);Industria;12,16
Total nacional;D.13 % de empleados que teletrabajan regularmente(3);Construcción;6,06
Total nacional;D.13 % de empleados que teletrabajan regularmente(3);Servicios;24,46
Total nacional;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,37
Total nacional;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,13
Total nacional;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,29
Total nacional;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,46
Andalucía;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;85,2
Andalucía;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;86,11
Andalucía;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;87,54
Andalucía;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;83,94
Andalucía;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;76,95
Andalucía;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;73,1
Andalucía;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;79,6
Andalucía;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;77,56
Andalucía;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;66,86
Andalucía;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;69,94
Andalucía;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;54,44
Andalucía;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;70,23
Andalucía;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;46,19
Andalucía;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;52,51
Andalucía;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;31,12
Andalucía;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;49,19
